Date,England,Wales,Scotland,Northern Ireland,UK
2/4/2020,"1,494",110,162,47,"1,813"
3/4/2020,"1,788",110,176,46,"2,120"
4/4/2020,"1,950",122,192,45,"2,309"
5/4/2020,"2,097",131,197,44,"2,469"
6/4/2020,"2,264",137,199,44,"2,644"
7/4/2020,"2,472",144,199,49,"2,864"
8/4/2020,"2,561",150,210,46,"2,967"
9/4/2020,"2,546",161,212,44,"2,963"
10/4/2020,"2,820",153,207,48,"3,228"
11/4/2020,"2,865",149,212,48,"3,274"
12/4/2020,"2,881",153,221,46,"3,301"
13/4/2020,"2,872",155,211,40,"3,278"
14/4/2020,"2,849",151,196,43,"3,239"
15/4/2020,"2,847",150,195,40,"3,232"
16/4/2020,"2,838",155,196,37,"3,226"
17/4/2020,"2,780",159,189,39,"3,167"
18/4/2020,"2,868",164,182,39,"3,253"
19/4/2020,"2,820",153,174,31,"3,178"
20/4/2020,"2,780",150,169,36,"3,135"
21/4/2020,"2,701",135,166,39,"3,041"
22/4/2020,"2,646",132,155,33,"2,966"
23/4/2020,"2,563",123,148,33,"2,867"
24/4/2020,"2,414",119,141,29,"2,703"
25/4/2020,"2,405",126,140,32,"2,703"
26/4/2020,"2,309",111,133,28,"2,581"
27/4/2020,"2,194",106,134,28,"2,462"
28/4/2020,"2,093",108,126,28,"2,355"
29/4/2020,"2,045",101,114,28,"2,288"
30/4/2020,"1,991",99,109,32,"2,231"
1/5/2020,"1,954",92,110,29,"2,185"
2/5/2020,"1,844",93,108,26,"2,071"
3/5/2020,"1,795",94,99,27,"2,015"
4/5/2020,"1,724",92,99,26,"1,941"
5/5/2020,"1,662",87,104,25,"1,878"
6/5/2020,"1,610",81,89,24,"1,804"
7/5/2020,"1,493",84,86,26,"1,689"
8/5/2020,"1,446",89,84,27,"1,646"
9/5/2020,"1,398",75,93,22,"1,588"
10/5/2020,"1,362",78,82,20,"1,542"
11/5/2020,"1,316",76,80,15,"1,487"
12/5/2020,"1,247",72,81,18,"1,418"
13/5/2020,"1,198",66,66,15,"1,345"
14/5/2020,"1,162",69,71,13,"1,315"
15/5/2020,"1,200",56,71,11,"1,338"
16/5/2020,"1,101",62,59,14,"1,236"
17/5/2020,"1,064",60,59,14,"1,197"
18/5/2020,"1,010",59,63,11,"1,143"
19/5/2020,976,64,59,9,"1,108"
20/5/2020,921,55,53,9,"1,038"
21/5/2020,894,57,51,8,"1,010"
22/5/2020,852,58,50,7,967
23/5/2020,815,58,50,6,929
24/5/2020,786,52,44,7,889
25/5/2020,771,47,40,10,868
26/5/2020,756,51,35,6,848
27/5/2020,696,44,38,5,783
28/5/2020,663,46,37,5,751
29/5/2020,630,45,40,5,720
30/5/2020,628,39,33,5,705
31/5/2020,606,42,27,6,681
1/6/2020,584,37,27,5,653
2/6/2020,553,44,34,7,638
3/6/2020,523,42,34,5,604
4/6/2020,494,42,28,7,571