"Date","location","ventilator_beds_occupied"
"2/4/2020","England",1494
"2/4/2020","Scotland",162
"2/4/2020","Wales",110
"2/4/2020","Northern Ireland",47
"2/4/2020","UK",1813
"3/4/2020","England",1788
"3/4/2020","Scotland",176
"3/4/2020","Wales",110
"3/4/2020","Northern Ireland",46
"3/4/2020","UK",2120
"4/4/2020","England",1950
"4/4/2020","Scotland",192
"4/4/2020","Wales",122
"4/4/2020","Northern Ireland",45
"4/4/2020","UK",2309
"5/4/2020","England",2097
"5/4/2020","Scotland",197
"5/4/2020","Wales",131
"5/4/2020","Northern Ireland",44
"5/4/2020","UK",2469
"6/4/2020","England",2264
"6/4/2020","Scotland",199
"6/4/2020","Wales",137
"6/4/2020","Northern Ireland",44
"6/4/2020","UK",2644
"7/4/2020","England",2472
"7/4/2020","Scotland",199
"7/4/2020","Wales",144
"7/4/2020","Northern Ireland",49
"7/4/2020","UK",2864
"8/4/2020","England",2561
"8/4/2020","Scotland",210
"8/4/2020","Wales",150
"8/4/2020","Northern Ireland",46
"8/4/2020","UK",2967
"9/4/2020","England",2546
"9/4/2020","Scotland",212
"9/4/2020","Wales",161
"9/4/2020","Northern Ireland",44
"9/4/2020","UK",2963
"10/4/2020","England",2820
"10/4/2020","Scotland",207
"10/4/2020","Wales",153
"10/4/2020","Northern Ireland",48
"10/4/2020","UK",3228
"11/4/2020","England",2865
"11/4/2020","Scotland",212
"11/4/2020","Wales",149
"11/4/2020","Northern Ireland",48
"11/4/2020","UK",3274
"12/4/2020","England",2881
"12/4/2020","Scotland",221
"12/4/2020","Wales",153
"12/4/2020","Northern Ireland",46
"12/4/2020","UK",3301
"13/4/2020","England",2872
"13/4/2020","Scotland",211
"13/4/2020","Wales",155
"13/4/2020","Northern Ireland",40
"13/4/2020","UK",3278
"14/4/2020","England",2849
"14/4/2020","Scotland",196
"14/4/2020","Wales",151
"14/4/2020","Northern Ireland",43
"14/4/2020","UK",3239
"15/4/2020","England",2847
"15/4/2020","Scotland",195
"15/4/2020","Wales",150
"15/4/2020","Northern Ireland",40
"15/4/2020","UK",3232
"16/4/2020","England",2838
"16/4/2020","Scotland",196
"16/4/2020","Wales",155
"16/4/2020","Northern Ireland",37
"16/4/2020","UK",3226
"17/4/2020","England",2780
"17/4/2020","Scotland",189
"17/4/2020","Wales",159
"17/4/2020","Northern Ireland",39
"17/4/2020","UK",3167
"18/4/2020","England",2868
"18/4/2020","Scotland",182
"18/4/2020","Wales",164
"18/4/2020","Northern Ireland",39
"18/4/2020","UK",3253
"19/4/2020","England",2820
"19/4/2020","Scotland",174
"19/4/2020","Wales",153
"19/4/2020","Northern Ireland",31
"19/4/2020","UK",3178
"20/4/2020","England",2780
"20/4/2020","Scotland",169
"20/4/2020","Wales",150
"20/4/2020","Northern Ireland",36
"20/4/2020","UK",3135
"21/4/2020","England",2701
"21/4/2020","Scotland",166
"21/4/2020","Wales",135
"21/4/2020","Northern Ireland",39
"21/4/2020","UK",3041
"22/4/2020","England",2646
"22/4/2020","Scotland",155
"22/4/2020","Wales",132
"22/4/2020","Northern Ireland",33
"22/4/2020","UK",2966
"23/4/2020","England",2563
"23/4/2020","Scotland",148
"23/4/2020","Wales",123
"23/4/2020","Northern Ireland",33
"23/4/2020","UK",2867
"24/4/2020","England",2414
"24/4/2020","Scotland",141
"24/4/2020","Wales",119
"24/4/2020","Northern Ireland",29
"24/4/2020","UK",2703
"25/4/2020","England",2405
"25/4/2020","Scotland",140
"25/4/2020","Wales",126
"25/4/2020","Northern Ireland",32
"25/4/2020","UK",2703
"26/4/2020","England",2309
"26/4/2020","Scotland",133
"26/4/2020","Wales",111
"26/4/2020","Northern Ireland",28
"26/4/2020","UK",2581
"27/4/2020","England",2194
"27/4/2020","Scotland",134
"27/4/2020","Wales",106
"27/4/2020","Northern Ireland",28
"27/4/2020","UK",2462
"28/4/2020","England",2093
"28/4/2020","Scotland",126
"28/4/2020","Wales",108
"28/4/2020","Northern Ireland",28
"28/4/2020","UK",2355
"29/4/2020","England",2045
"29/4/2020","Scotland",114
"29/4/2020","Wales",101
"29/4/2020","Northern Ireland",28
"29/4/2020","UK",2288
"30/4/2020","England",1991
"30/4/2020","Scotland",109
"30/4/2020","Wales",99
"30/4/2020","Northern Ireland",32
"30/4/2020","UK",2231
"1/5/2020","England",1954
"1/5/2020","Scotland",110
"1/5/2020","Wales",92
"1/5/2020","Northern Ireland",29
"1/5/2020","UK",2185
"2/5/2020","England",1844
"2/5/2020","Scotland",108
"2/5/2020","Wales",93
"2/5/2020","Northern Ireland",26
"2/5/2020","UK",2071
"3/5/2020","England",1795
"3/5/2020","Scotland",99
"3/5/2020","Wales",94
"3/5/2020","Northern Ireland",27
"3/5/2020","UK",2015
"4/5/2020","England",1724
"4/5/2020","Scotland",99
"4/5/2020","Wales",92
"4/5/2020","Northern Ireland",26
"4/5/2020","UK",1941
"5/5/2020","England",1662
"5/5/2020","Scotland",104
"5/5/2020","Wales",87
"5/5/2020","Northern Ireland",25
"5/5/2020","UK",1878
"6/5/2020","England",1610
"6/5/2020","Scotland",89
"6/5/2020","Wales",81
"6/5/2020","Northern Ireland",24
"6/5/2020","UK",1804
"7/5/2020","England",1493
"7/5/2020","Scotland",86
"7/5/2020","Wales",84
"7/5/2020","Northern Ireland",26
"7/5/2020","UK",1689
"8/5/2020","England",1446
"8/5/2020","Scotland",84
"8/5/2020","Wales",89
"8/5/2020","Northern Ireland",27
"8/5/2020","UK",1646
"9/5/2020","England",1398
"9/5/2020","Scotland",93
"9/5/2020","Wales",75
"9/5/2020","Northern Ireland",22
"9/5/2020","UK",1588
"10/5/2020","England",1362
"10/5/2020","Scotland",82
"10/5/2020","Wales",78
"10/5/2020","Northern Ireland",20
"10/5/2020","UK",1542
"11/5/2020","England",1316
"11/5/2020","Scotland",80
"11/5/2020","Wales",76
"11/5/2020","Northern Ireland",15
"11/5/2020","UK",1487
"12/5/2020","England",1247
"12/5/2020","Scotland",81
"12/5/2020","Wales",72
"12/5/2020","Northern Ireland",18
"12/5/2020","UK",1418
"13/5/2020","England",1198
"13/5/2020","Scotland",66
"13/5/2020","Wales",66
"13/5/2020","Northern Ireland",15
"13/5/2020","UK",1345
"14/5/2020","England",1162
"14/5/2020","Scotland",71
"14/5/2020","Wales",69
"14/5/2020","Northern Ireland",13
"14/5/2020","UK",1315
"15/5/2020","England",1200
"15/5/2020","Scotland",71
"15/5/2020","Wales",56
"15/5/2020","Northern Ireland",11
"15/5/2020","UK",1338
"16/5/2020","England",1101
"16/5/2020","Scotland",59
"16/5/2020","Wales",62
"16/5/2020","Northern Ireland",14
"16/5/2020","UK",1236
"17/5/2020","England",1064
"17/5/2020","Scotland",59
"17/5/2020","Wales",60
"17/5/2020","Northern Ireland",14
"17/5/2020","UK",1197
"18/5/2020","England",1010
"18/5/2020","Scotland",63
"18/5/2020","Wales",59
"18/5/2020","Northern Ireland",11
"18/5/2020","UK",1143
"19/5/2020","England",976
"19/5/2020","Scotland",59
"19/5/2020","Wales",64
"19/5/2020","Northern Ireland",9
"19/5/2020","UK",1108
"20/5/2020","England",921
"20/5/2020","Scotland",53
"20/5/2020","Wales",55
"20/5/2020","Northern Ireland",9
"20/5/2020","UK",1038
"21/5/2020","England",894
"21/5/2020","Scotland",51
"21/5/2020","Wales",57
"21/5/2020","Northern Ireland",8
"21/5/2020","UK",1010
"22/5/2020","England",852
"22/5/2020","Scotland",50
"22/5/2020","Wales",58
"22/5/2020","Northern Ireland",7
"22/5/2020","UK",967
"23/5/2020","England",815
"23/5/2020","Scotland",50
"23/5/2020","Wales",58
"23/5/2020","Northern Ireland",6
"23/5/2020","UK",929
"24/5/2020","England",786
"24/5/2020","Scotland",44
"24/5/2020","Wales",52
"24/5/2020","Northern Ireland",7
"24/5/2020","UK",889
"25/5/2020","England",771
"25/5/2020","Scotland",40
"25/5/2020","Wales",47
"25/5/2020","Northern Ireland",10
"25/5/2020","UK",868
"26/5/2020","England",756
"26/5/2020","Scotland",35
"26/5/2020","Wales",51
"26/5/2020","Northern Ireland",6
"26/5/2020","UK",848
"27/5/2020","England",696
"27/5/2020","Scotland",38
"27/5/2020","Wales",44
"27/5/2020","Northern Ireland",5
"27/5/2020","UK",783
"28/5/2020","England",663
"28/5/2020","Scotland",37
"28/5/2020","Wales",46
"28/5/2020","Northern Ireland",5
"28/5/2020","UK",751
"29/5/2020","England",630
"29/5/2020","Scotland",40
"29/5/2020","Wales",45
"29/5/2020","Northern Ireland",5
"29/5/2020","UK",720
"30/5/2020","England",628
"30/5/2020","Scotland",33
"30/5/2020","Wales",39
"30/5/2020","Northern Ireland",5
"30/5/2020","UK",705
"31/5/2020","England",606
"31/5/2020","Scotland",27
"31/5/2020","Wales",42
"31/5/2020","Northern Ireland",6
"31/5/2020","UK",681
"1/6/2020","England",584
"1/6/2020","Scotland",27
"1/6/2020","Wales",37
"1/6/2020","Northern Ireland",5
"1/6/2020","UK",653
"2/6/2020","England",553
"2/6/2020","Scotland",34
"2/6/2020","Wales",44
"2/6/2020","Northern Ireland",7
"2/6/2020","UK",638
"3/6/2020","England",523
"3/6/2020","Scotland",34
"3/6/2020","Wales",42
"3/6/2020","Northern Ireland",5
"3/6/2020","UK",604
"4/6/2020","England",494
"4/6/2020","Scotland",28
"4/6/2020","Wales",42
"4/6/2020","Northern Ireland",7
"4/6/2020","UK",571
"5/6/2020","England",481
"5/6/2020","Scotland",23
"5/6/2020","Wales",44
"5/6/2020","Northern Ireland",8
"5/6/2020","UK",556
"6/6/2020","England",473
"6/6/2020","Scotland",20
"6/6/2020","Wales",41
"6/6/2020","Northern Ireland",8
"6/6/2020","UK",542
"7/6/2020","England",448
"7/6/2020","Scotland",25
"7/6/2020","Wales",38
"7/6/2020","Northern Ireland",5
"7/6/2020","UK",516
"8/6/2020","England",443
"8/6/2020","Scotland",24
"8/6/2020","Wales",38
"8/6/2020","Northern Ireland",8
"8/6/2020","UK",513
"9/6/2020","England",427
"9/6/2020","Scotland",21
"9/6/2020","Wales",40
"9/6/2020","Northern Ireland",4
"9/6/2020","UK",492
"10/6/2020","England",384
"10/6/2020","Scotland",18
"10/6/2020","Wales",32
"10/6/2020","Northern Ireland",6
"10/6/2020","UK",440
"11/6/2020","England",334
"11/6/2020","Scotland",21
"11/6/2020","Wales",29
"11/6/2020","Northern Ireland",8
"11/6/2020","UK",392
"12/6/2020","England",336
"12/6/2020","Scotland",23
"12/6/2020","Wales",29
"12/6/2020","Northern Ireland",7
"12/6/2020","UK",395
"13/6/2020","England",339
"13/6/2020","Scotland",20
"13/6/2020","Wales",27
"13/6/2020","Northern Ireland",6
"13/6/2020","UK",392
"14/6/2020","England",343
"14/6/2020","Scotland",15
"14/6/2020","Wales",31
"14/6/2020","Northern Ireland",4
"14/6/2020","UK",393
"15/6/2020","England",327
"15/6/2020","Scotland",18
"15/6/2020","Wales",36
"15/6/2020","Northern Ireland",4
"15/6/2020","UK",385
